bigram,frequency,word1,word2,word1_freq,word2_freq
"('truth', 'wherefore')",2.6473235558850002e-05,truth,wherefore,0.0003970880211780278,0.00021178027796161483
"('ſit', 'abſurdum')",2.6473235558850002e-05,ſit,abſurdum,0.00010589013898080742,2.6472534745201854e-05
"('former', 'ſeemed')",2.6473235558850002e-05,former,ſeemed,0.0007941760423560556,2.6472534745201854e-05
"('buble', 'which')",2.6473235558850002e-05,buble,which,2.6472534745201854e-05,0.006909331568497683
"('on', 'to')",2.6473235558850002e-05,on,to,0.0022501654533421574,0.027743216412971543
"('the', 'obliquity')",2.6473235558850002e-05,the,obliquity,0.09082726671078756,2.6472534745201854e-05
"('ſame', 'purpoſe')",7.941970667655001e-05,ſame,purpoſe,0.0028590337524818,0.0004765056254136334
"('ſometimes', 'the')",2.6473235558850002e-05,ſometimes,the,0.0004500330906684315,0.09082726671078756
"('stevinus', 'might')",2.6473235558850002e-05,stevinus,might,0.0005559232296492389,0.0004500330906684315
"('it', 'he')",2.6473235558850002e-05,it,he,0.02088682991396426,0.0015618795499669094
"('pipe', 'blown')",2.6473235558850002e-05,pipe,blown,0.005532759761747187,0.00015883520847121113
"('make', 'this')",5.2946471117700005e-05,make,this,0.0017207147584381204,0.006909331568497683
"('though', 'that')",0.00010589294223540001,though,that,0.0035473196558570485,0.023957643944407678
"('judg', 'd')",2.6473235558850002e-05,judg,d,2.6472534745201854e-05,0.019642620780939774
"('the', 'bigneſs')",2.6473235558850002e-05,the,bigneſs,0.09082726671078756,0.00013236267372600927
"('ſake', 'with')",2.6473235558850002e-05,ſake,with,0.00010589013898080742,0.005056254136333554
"('heavier', 'fluids')",2.6473235558850002e-05,heavier,fluids,0.001270681667769689,0.00018530774321641298
"('reſpect', 'of')",0.00018531264891195003,reſpect,of,0.0002382528127068167,0.04788881535407015
"('parallel', 'and')",2.6473235558850002e-05,parallel,and,0.0004500330906684315,0.02255459960291198
"('diſadvantageous', 'a')",2.6473235558850002e-05,diſadvantageous,a,2.6472534745201854e-05,0.01842488418266049
"('cork', 'it')",2.6473235558850002e-05,cork,it,0.00042356055592322967,0.02088682991396426
"('not', 'competently')",2.6473235558850002e-05,not,competently,0.008815354070152217,7.941760423560556e-05
"('being', 'lean')",2.6473235558850002e-05,being,lean,0.004156187954996691,0.00029119788219722037
"('ones', 'finger')",5.2946471117700005e-05,ones,finger,0.00018530774321641298,0.0007677035076108537
"('of', 'prefaces')",2.6473235558850002e-05,of,prefaces,0.04788881535407015,2.6472534745201854e-05
"('heavier', 'or')",5.2946471117700005e-05,heavier,or,0.001270681667769689,0.006565188616810059
"('upper', 'nor')",2.6473235558850002e-05,upper,nor,0.0015883520847121111,0.0006882859033752482
"('gold', 'it')",2.6473235558850002e-05,gold,it,0.00015883520847121113,0.02088682991396426
"('place', 'its')",2.6473235558850002e-05,place,its,0.0011912640635340834,0.004235605559232297
"('obtaine', 'the')",2.6473235558850002e-05,obtaine,the,7.941760423560556e-05,0.09082726671078756
"('tube', 'leaning')",2.6473235558850002e-05,tube,leaning,0.0006618133686300463,0.00015883520847121113
"('learn', 'what')",2.6473235558850002e-05,learn,what,0.00010589013898080742,0.0018530774321641296
"('object', '2')",2.6473235558850002e-05,object,2,0.00018530774321641298,0.00013236267372600927
"('upon', 'other')",5.2946471117700005e-05,upon,other,0.0057445400397088025,0.004659166115155526
"('therefore', 'ſpreading')",2.6473235558850002e-05,therefore,ſpreading,0.000900066181336863,2.6472534745201854e-05
"('a', 'flie')",2.6473235558850002e-05,a,flie,0.01842488418266049,7.941760423560556e-05
"('80', 'and')",2.6473235558850002e-05,80,and,2.6472534745201854e-05,0.02255459960291198
"('free', 'aire')",2.6473235558850002e-05,free,aire,0.00021178027796161483,0.0024619457313037724
"('form', 'like')",2.6473235558850002e-05,form,like,2.6472534745201854e-05,0.00031767041694242225
"('them', 'which')",5.2946471117700005e-05,them,which,0.002382528127068167,0.006909331568497683
"('inſtrument', 'a')",2.6473235558850002e-05,inſtrument,a,0.0003970880211780278,0.01842488418266049
"('inſide', 'as')",2.6473235558850002e-05,inſide,as,5.294506949040371e-05,0.013077432164129715
"('the', 'superiour')",5.2946471117700005e-05,the,superiour,0.09082726671078756,5.294506949040371e-05
"('having', 'found')",2.6473235558850002e-05,having,found,0.0014295168762409,0.0005823957643944407
"('preſt', 'only')",2.6473235558850002e-05,preſt,only,5.294506949040371e-05,0.0012177365982792851
"('again', 'at')",2.6473235558850002e-05,again,at,0.0005029781601588353,0.004579748510919921
"('ſlowly', 'lifting')",2.6473235558850002e-05,ſlowly,lifting,0.0002382528127068167,7.941760423560556e-05
"('pipes', 'muſt')",5.2946471117700005e-05,pipes,muſt,0.0010589013898080742,0.002329583057577763
"('a', 'lighter')",0.00031767882670620003,a,lighter,0.01842488418266049,0.0013236267372600927
"('by', 'exact')",2.6473235558850002e-05,by,exact,0.010800794176042357,0.00013236267372600927
"('from', 'one')",2.6473235558850002e-05,from,one,0.0033884844473858373,0.0027796161482461948
"('its', 'room')",2.6473235558850002e-05,its,room,0.004235605559232297,0.00010589013898080742
"('in', 'depth')",5.2946471117700005e-05,in,depth,0.019060225016545335,0.0009794837855724686
"('our', 'ingenious')",2.6473235558850002e-05,our,ingenious,0.0017471872931833223,0.0002382528127068167
"('the', 'diſtillation')",2.6473235558850002e-05,the,diſtillation,0.09082726671078756,2.6472534745201854e-05
"('learned', 'authour')",2.6473235558850002e-05,learned,authour,0.0005294506949040371,5.294506949040371e-05
"('this', 'ſurpluſage')",2.6473235558850002e-05,this,ſurpluſage,0.006909331568497683,0.00015883520847121113
"('here', 'it')",5.2946471117700005e-05,here,it,0.0006618133686300463,0.02088682991396426
"('worthy', 'of')",2.6473235558850002e-05,worthy,of,2.6472534745201854e-05,0.04788881535407015
"('ſpecie', 'then')",0.00060888441785355,ſpecie,then,0.0008471211118464593,0.007968232958305758
"('ſlowly', 'into')",5.2946471117700005e-05,ſlowly,into,0.0002382528127068167,0.0031502316346790206
