bigram,frequency,word1,word2,word1_freq,word2_freq
"('expreſſes', 'his')",0.00013883104262113008,expreſſes,his,0.000138811771238201,0.003747917823431427
"('may', 'conclude')",0.00013883104262113008,may,conclude,0.003192670738478623,0.000277623542476402
"('that', 'infinite')",0.00013883104262113008,that,infinite,0.02373681288173237,0.000138811771238201
"('and', 'inſtances')",0.00013883104262113008,and,inſtances,0.04525263742365353,0.000277623542476402
"('allowance', 'for')",0.00013883104262113008,allowance,for,0.000416435313714603,0.010827318156579679
"('go', 'into')",0.00013883104262113008,go,into,0.000277623542476402,0.00138811771238201
"('what', 'prayer')",0.00013883104262113008,what,prayer,0.004719600222098834,0.000277623542476402
"('of', 'ſome')",0.00013883104262113008,of,ſome,0.04094947251526929,0.003192670738478623
"('or', 'families')",0.00013883104262113008,or,families,0.009994447529150472,0.000138811771238201
"('three', 'years')",0.00013883104262113008,three,years,0.000277623542476402,0.000416435313714603
"('ſelves', 'implicitly')",0.00013883104262113008,ſelves,implicitly,0.000138811771238201,0.000138811771238201
"('what', 'that')",0.00013883104262113008,what,that,0.004719600222098834,0.02373681288173237
"('one', 'and')",0.00027766208524226016,one,and,0.002082176568573015,0.04525263742365353
"('maintain', 'to')",0.00013883104262113008,maintain,to,0.000277623542476402,0.03678511937812327
"('how', 'can')",0.00013883104262113008,how,can,0.000694058856191005,0.003192670738478623
"('as', 'have')",0.00013883104262113008,as,have,0.013742365352581899,0.006107717934480844
"('2', 'which')",0.00013883104262113008,2,which,0.003470294280955025,0.009439200444197668
"('repented', 'of')",0.00013883104262113008,repented,of,0.000138811771238201,0.04094947251526929
"('other', 'theſe')",0.00013883104262113008,other,theſe,0.003192670738478623,0.00138811771238201
"('15', 'goſpel')",0.00013883104262113008,15,goſpel,0.000832870627429206,0.010410882842865074
"('omitted', 'as')",0.00013883104262113008,omitted,as,0.000138811771238201,0.013742365352581899
"('from', 'revelation')",0.00013883104262113008,from,revelation,0.006107717934480844,0.010827318156579679
"('ſome', 'till')",0.00013883104262113008,ſome,till,0.003192670738478623,0.000277623542476402
"('c', 'was')",0.00013883104262113008,c,was,0.00277623542476402,0.007079400333148251
"('teſtimony', 'we')",0.00013883104262113008,teſtimony,we,0.000277623542476402,0.00694058856191005
"('would', 'not')",0.00013883104262113008,would,not,0.001943364797334814,0.006801776790671849
"('in', 'compariſon')",0.00013883104262113008,in,compariſon,0.016102165463631316,0.000138811771238201
"('yet', 'not')",0.00013883104262113008,yet,not,0.00138811771238201,0.006801776790671849
"('evacuate', 'a')",0.00013883104262113008,evacuate,a,0.000138811771238201,0.018184342032204332
"('15', 'matters')",0.00013883104262113008,15,matters,0.000832870627429206,0.000277623542476402
"('he', 'brought')",0.00013883104262113008,he,brought,0.004858411993337035,0.000138811771238201
"('indeed', 'are')",0.00013883104262113008,indeed,are,0.000416435313714603,0.006524153248195447
"('away', 'our')",0.00013883104262113008,away,our,0.000138811771238201,0.002359800111049417
"('example', 'whenever')",0.00013883104262113008,example,whenever,0.000138811771238201,0.000138811771238201
"('him', 'ſhall')",0.00013883104262113008,him,ſhall,0.003053858967240422,0.004025541365907829
"('man', 'preach')",0.00013883104262113008,man,preach,0.001249305941143809,0.000694058856191005
"('delivered', 'to')",0.00013883104262113008,delivered,to,0.000277623542476402,0.03678511937812327
"('all', 'caſes')",0.00013883104262113008,all,caſes,0.005830094392004442,0.000555247084952804
"('third', 'branch')",0.00013883104262113008,third,branch,0.000277623542476402,0.000277623542476402
"('thought', 'themſelves')",0.00013883104262113008,thought,themſelves,0.000138811771238201,0.000555247084952804
"('been', 'far')",0.00013883104262113008,been,far,0.002220988339811216,0.000832870627429206
"('the', 'whole')",0.00027766208524226016,the,whole,0.057884508606329814,0.000416435313714603
"('prove', 'falſe')",0.00013883104262113008,prove,falſe,0.000555247084952804,0.000555247084952804
"('28', 'this')",0.00027766208524226016,28,this,0.000416435313714603,0.006524153248195447
"('one', 'without')",0.00013883104262113008,one,without,0.002082176568573015,0.000832870627429206
"('ends', 'for')",0.00013883104262113008,ends,for,0.000138811771238201,0.010827318156579679
"('people', 'of')",0.00013883104262113008,people,of,0.000971682398667407,0.04094947251526929
"('de', 'peric')",0.00013883104262113008,de,peric,0.000971682398667407,0.000138811771238201
"('evangelical', 'after')",0.00013883104262113008,evangelical,after,0.000277623542476402,0.001804553026096613
"('believe', 'and')",0.00013883104262113008,believe,and,0.000555247084952804,0.04525263742365353
"('whatever', 'alters')",0.00013883104262113008,whatever,alters,0.000416435313714603,0.000138811771238201
"('ſo', 'ſay')",0.00013883104262113008,ſo,ſay,0.004858411993337035,0.000416435313714603
"('made', 'known')",0.00013883104262113008,made,known,0.001665741254858412,0.000138811771238201
"('yet', 'it')",0.00013883104262113008,yet,it,0.00138811771238201,0.02345918933925597
