bigram,frequency,word1,word2,word1_freq,word2_freq
"('not', 'excepted')",2.3601883430297737e-05,not,excepted,0.0072220911021949495,4.720320981826764e-05
"('chief', 'security')",1.1800941715148868e-05,chief,security,0.0007670521595468492,4.720320981826764e-05
"('fuentes', 'that')",1.1800941715148868e-05,fuentes,that,2.360160490913382e-05,0.028239320273778616
"('do', 'which')",1.1800941715148868e-05,do,which,0.0010266698135473213,0.009334434741562427
"('against', 'their')",3.54028251454466e-05,against,their,0.000660844937455747,0.007788529620014161
"('many', 'very')",1.1800941715148868e-05,many,very,0.002584375737550153,0.003162615057823932
"('they', 'seeing')",1.1800941715148868e-05,they,seeing,0.010762331838565023,0.00015341043190936982
"('of', 'so')",0.0003540282514544661,of,so,0.04392258673589804,0.012237432145385887
"('saw', 'how')",1.1800941715148868e-05,saw,how,0.0011210762331838565,0.0003304224687278735
"('republi', 'k')",2.3601883430297737e-05,republi,k,2.360160490913382e-05,0.000259617654000472
"('were', 'else')",1.1800941715148868e-05,were,else,0.004649516167099362,8.260561718196837e-05
"('that', 'perhap')",1.1800941715148868e-05,that,perhap,0.028239320273778616,2.360160490913382e-05
"('la', 'hay')",1.1800941715148868e-05,la,hay,7.080481472740146e-05,2.360160490913382e-05
"('for', 'all')",5.9004708575744343e-05,for,all,0.008543780977106443,0.007835732829832428
"('conversation', 'has')",1.1800941715148868e-05,conversation,has,0.00020061364172763749,0.0007552513570922823
"('an', 'agent')",1.1800941715148868e-05,an,agent,0.0035048383290063726,1.180080245456691e-05
"('man', 'hath')",1.1800941715148868e-05,man,hath,0.0010974746282747226,0.002525371725277319
"('designed', 'in')",1.1800941715148868e-05,designed,in,7.080481472740146e-05,0.02158366768940288
"('parts', 'one')",1.1800941715148868e-05,parts,one,0.0004720320981826764,0.005676185980646684
"('a', 'm')",1.1800941715148868e-05,a,m,0.02368421052631579,0.00035402407363700734
"('disputes', 'in')",1.1800941715148868e-05,disputes,in,4.720320981826764e-05,0.02158366768940288
"('superstition', 'or')",1.1800941715148868e-05,superstition,or,0.00017701203681850367,0.002666981354732122
"('she', 'would')",2.3601883430297737e-05,she,would,0.0009794666037290535,0.001711116355912202
"('all', 'the')",0.002242178925878285,all,the,0.007835732829832428,0.07344819447722445
"('neither', 'being')",1.1800941715148868e-05,neither,being,0.0002478168515459051,0.0018173235780033043
"('brings', 'the')",1.1800941715148868e-05,brings,the,9.440641963653528e-05,0.07344819447722445
"('paul', 'are')",1.1800941715148868e-05,paul,are,0.000129808827000236,0.0096648572102903
"('half', 'a')",5.9004708575744343e-05,half,a,0.0005074345055463772,0.02368421052631579
"('s', 're')",1.1800941715148868e-05,s,re,0.002666981354732122,0.00017701203681850367
"('long', 'digression')",1.1800941715148868e-05,long,digression,0.001168279443002124,7.080481472740146e-05
"('and', 'laziness')",1.1800941715148868e-05,and,laziness,0.030658484776964832,2.360160490913382e-05
"('bakers', 'who')",1.1800941715148868e-05,bakers,who,4.720320981826764e-05,0.001829124380457871
"('struck', 'them')",1.1800941715148868e-05,struck,them,4.720320981826764e-05,0.005558177956101015
"('hill', 'where')",1.1800941715148868e-05,hill,where,0.000389426481000708,0.0014751003068208639
"('th', 'town')",1.1800941715148868e-05,th,town,0.0004366296908189757,0.0014987019117299976
"('great', 'decency')",1.1800941715148868e-05,great,decency,0.004885532216190701,1.180080245456691e-05
"('nobility', 'therefore')",1.1800941715148868e-05,nobility,therefore,0.0004602312957281095,0.00021241444418220438
"('had', 'possessed')",1.1800941715148868e-05,had,possessed,0.0037408543780977107,0.00014160962945480293
"('so', 'prolong')",1.1800941715148868e-05,so,prolong,0.012237432145385887,1.180080245456691e-05
